Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered
2020-06-12,7797006,441359,3708107,3647540,143260,4798,94173,5.66,47.56,11.9
2020-06-13,7936654,445484,3804032,3687138,139648,4125,95925,5.61,47.93,11.71
2020-06-14,8068235,449044,3894334,3724857,131581,3560,90302,5.57,48.27,11.53
2020-06-15,8199045,453081,3987339,3758625,130810,4037,93005,5.53,48.63,11.36
2020-06-16,8341874,458313,4079953,3803608,142829,5232,92614,5.49,48.91,11.23
2020-06-17,8492833,464154,4183227,3845452,150959,5841,103274,5.47,49.26,11.1
2020-06-18,8650544,469345,4286803,3894396,157711,5191,103576,5.43,49.56,10.95
2020-06-19,8811389,474106,4391155,3946128,160845,4761,104352,5.38,49.83,10.8
2020-06-20,8969174,478785,4498002,3992387,157785,4679,106847,5.34,50.15,10.64
2020-06-21,9119025,482556,4595073,4041396,149851,3771,97071,5.29,50.39,10.5
2020-06-22,9268238,486632,4697212,4084394,149213,4076,102139,5.25,50.68,10.36
2020-06-23,9429604,491874,4799793,4137937,161366,5242,102581,5.22,50.9,10.25
2020-06-24,9599233,497374,4911505,4190354,169629,5500,111712,5.18,51.17,10.13
2020-06-25,9775748,502454,5027773,4245521,176515,5080,116268,5.14,51.43,9.99
2020-06-26,9955530,507150,5143577,4304803,179782,4696,115804,5.09,51.67,9.86
2020-06-27,10132251,511629,5257237,4363385,176721,4479,113660,5.05,51.89,9.73
2020-06-28,10301039,515567,5361780,4423692,168788,3938,104543,5.0,52.05,9.62
2020-06-29,10469189,519699,5478950,4470540,168150,4132,117170,4.96,52.33,9.49
2020-06-30,10649492,524636,5595218,4529638,180303,4937,116268,4.93,52.54,9.38
2020-07-01,10838058,529891,5720492,4587675,188566,5255,125274,4.89,52.78,9.26
2020-07-02,11033510,535310,5847012,4651188,195452,5419,126520,4.85,52.99,9.16
2020-07-03,11232229,540239,5970913,4721077,198719,4929,123901,4.81,53.16,9.05
2020-07-04,11427887,544962,6110605,4772320,195658,4723,139692,4.77,53.47,8.92
2020-07-05,11615612,548854,6230315,4836443,187725,3892,119710,4.73,53.64,8.81
2020-07-06,11802699,552786,6353182,4896731,187087,3932,122867,4.68,53.83,8.7
2020-07-07,12001938,558930,6483427,4959581,199239,6144,130245,4.66,54.02,8.62
2020-07-08,12209441,564546,6624726,5020169,207503,5616,141299,4.62,54.26,8.52
2020-07-09,12423829,569386,6769205,5085238,214388,4840,144479,4.58,54.49,8.41
2020-07-10,12641485,574579,6914157,5152749,217656,5193,144952,4.55,54.69,8.31
2020-07-11,12856080,579642,7065021,5211417,214595,5063,150864,4.51,54.95,8.2
2020-07-12,13062742,584085,7199546,5279111,206662,4443,134525,4.47,55.12,8.11
2020-07-13,13268766,588815,7341977,5337974,206024,4730,142431,4.44,55.33,8.02
2020-07-14,13486942,594977,7487092,5404873,218176,6162,145115,4.41,55.51,7.95
2020-07-15,13713381,600885,7638905,5473591,226439,5908,151813,4.38,55.7,7.87
2020-07-16,13946706,606585,7807497,5532624,233325,5700,168592,4.35,55.98,7.77
2020-07-17,14183298,612084,7970582,5600632,236592,5499,163085,4.32,56.2,7.68
2020-07-18,14416830,617211,8133247,5666372,233532,5127,162665,4.28,56.41,7.59
2020-07-19,14642429,622731,8280758,5738940,225599,5520,147511,4.25,56.55,7.52
2020-07-20,14867390,628040,8437928,5801422,224961,5309,157170,4.22,56.75,7.44
2020-07-21,15104503,634300,8593634,5876569,237113,6260,155706,4.2,56.89,7.38
2020-07-22,15349879,640395,8766135,5943349,245376,6095,172501,4.17,57.11,7.31
2020-07-23,15602141,646405,8940065,6015671,252262,6010,173930,4.14,57.3,7.23
2020-07-24,15857670,651886,9117952,6087832,255529,5481,177887,4.11,57.5,7.15
2020-07-25,16110139,657785,9298486,6153868,252469,5899,180534,4.08,57.72,7.07
2020-07-26,16354674,662897,9461601,6230176,244535,5112,163115,4.05,57.85,7.01
2020-07-27,16598571,668505,9629792,6300274,243897,5608,168191,4.03,58.02,6.94
2020-07-28,16854621,675308,9802060,6377253,256050,6803,172268,4.01,58.16,6.89
2020-07-29,17118934,681783,9985810,6451341,264313,6475,183750,3.98,58.33,6.83
2020-07-30,17390133,687809,10174111,6528213,271199,6026,188301,3.96,58.51,6.76
2020-07-31,17664599,693693,10368160,6602746,274466,5884,194049,3.93,58.69,6.69
2020-08-01,17936005,699576,10559532,6676897,271406,5883,191372,3.9,58.87,6.63
2020-08-02,18199477,704956,10737730,6756791,263472,5380,178198,3.87,59.0,6.57
2020-08-03,18462311,711003,10921245,6830063,262834,6047,183515,3.85,59.15,6.51
